content
This is worst app dont use anyone. Maine loan Liya 8k repayment 11200 due date tak 14200 hogaye and then again loan apply kia tou next month ki date agai k apka nic clear nahi hai.tou 2 mahine se kia soch k loan de rahy thy jab data nahi tha.its totally spam koi NAHI Lena loan Sood hai ye ghalati hogai mjse Jo Maine use ki app. Worst app 0 star.
یہ لوگ آپ کے موبائل تک رسائی حاصل کرنے کے بعد آپ کی پرسنل تصویر کونیٹٹ حاصل کرتے ھے اور پھر بلیک میل کرتے ھے سات دن کیلیے رقم دیتے ہیں 50 فیصد سود کے ساتھ آخری دن آپ کے موبائل سے نمبر لے کر بدتمیزی شروع کر دیتے ھیں میں اس کا شکار ہو چکا ھوں خدا کیلیے اس سے بچاؤ کرے اور اپنے رشتے داروں دوستوں کو بتائیں تاکہ اس فتنے سے محفوظ رکھا جائے
Total waste of time i think they dont have money they just troll us
"Worst app ever! It's a honey trap where it gives a person money at start with low markup rate, and with the usage they increase the loan amount with huge markup rate and even if you need less money for the second time you won't be able to take less but have to take according to the app consent. Markup is very high"
"O believers, take not doubled and redoubled interest, and fear God so that you may prosper"". Receiving or paying interest is deemed to be a major sin in Islam. For anyone who has receives interest monies into their bank account, they should look to donate the money to a charitable cause."
Fazool interest rate is very high 500 in a week
"This app is a scam please don't use it, it's give you load but couldn't received you completely, yeh apsy ziada tax lyty hain or apko 3 guna ziada dyna hota hai"
MRI tmam sis and bro se guzarish ha k aisi Kisi b app se dour rahain.deta black mailing ka to mje ni pta bt in logu ka markup bht ziyada ha ..jitna bta Rahe Hain us se bht ziyada ma ne 4000 Liya to Apne charges kaat k 3500 dia aor wapis 4500 jma krwaiya baqi sb ki apni mrzi
worst service .. kabhi bhi mt leena koi bhi yahan sy lone.
9a>
Worst App 2 no bande Jhoot bolte
Ye app aam aur sada logon ko blackmail kar k phansa rahai hain 5k ka loan dy kar 15k tak wasool karte hain
It steals all their data from you by luring people to lend money and forwards that data to companies. This is not a secure app This fraud app should be removed from Google play store as soon as possible.This is a scam app.
3rd class customer service... U habe to wait for hours.. and the agent will not listen to you and disconnect the call... You have to wait for months and finally you will get a Loan of RS 1000...🙏SHAME
20 years
"Scam, Ya Scam hai in sai Paisa na Lai ya 50,000 ka kah kr 5000 approval krta hai ata 3500 hai or Sood Samaith 7500 dana hota hai krna aap 1 month ka hai or data ya 7 days ka hai. In sa Bacho"
Khabees begairat log kahte hain 4000 le lo jis par 1700 sood laga kar 7 din me wapis karne hon ge
Worst experience Told me that you. Repay loan in 2 months but. Disturbing me. In only 10 days
Sb glt Hai ye fake app forri qarza ka time 24hr haha
